month,arm,policy,alpha,costing,n_series,n_costed,CSR,FR,cost_layerc,hold_layerc,short_layerc,avg_inventory,total_lost,S_median,n_violations
2019-07-01,chronos2-ft-full-short,P1,0.98,margin,1926,1640,0.9008,0.8857,20.9552,11.4243,9.5308,42.66,8619.0,18.0,0
2019-07-01,chronos2-ft-full-short,P2,0.98,derived,1926,1640,0.8977,0.888,40.7192,11.2454,29.4737,42.49,8439.3,17.4,0
2019-07-01,chronos2-ft-full-short,P2,0.98,margin,1926,1640,0.8977,0.888,20.8139,11.2454,9.5685,42.49,8439.3,17.4,0
2019-07-01,chronos2-ft-full-short,P3,0.98,derived,1926,1640,0.906,0.8938,39.3172,11.676,27.6413,43.83,8005.0,19.0,0
2019-07-01,chronos2-ft-full-short,P3,0.98,margin,1926,1640,0.906,0.8938,20.6422,11.676,8.9662,43.83,8005.0,19.0,0
2019-07-01,emp-daily,P1,0.85,derived,1926,1640,0.8525,0.8341,15.5989,10.3437,5.2552,37.44,12506.0,13.0,0
2019-07-01,emp-daily,P1,0.85,margin,1926,1640,0.8525,0.8341,25.1124,10.3437,14.7688,37.44,12506.0,13.0,0
2019-07-01,emp-daily,P2,0.85,derived,1926,1640,0.8515,0.8435,15.4648,10.5037,4.961,38.25,11797.5,13.3,0
2019-07-01,emp-daily,P2,0.85,margin,1926,1640,0.8515,0.8435,24.5941,10.5037,14.0903,38.25,11797.5,13.3,0
2019-07-01,emp-daily,P3,0.85,derived,1926,1640,0.8583,0.8435,15.4801,10.5167,4.9634,38.29,11793.0,13.0,0
2019-07-01,emp-daily,P3,0.85,margin,1926,1640,0.8583,0.8435,24.6032,10.5167,14.0865,38.29,11793.0,13.0,0
2019-07-01,emp-daily,P1,0.9,derived,1926,1640,0.8629,0.8465,18.3113,10.7204,7.5909,38.91,11574.0,14.0,0
2019-07-01,emp-daily,P1,0.9,margin,1926,1640,0.8629,0.8465,24.2906,10.7204,13.5702,38.91,11574.0,14.0,0
2019-07-01,emp-daily,P2,0.9,derived,1926,1640,0.865,0.854,18.158,10.9065,7.2515,39.67,11004.8,14.7,0
2019-07-01,emp-daily,P2,0.9,margin,1926,1640,0.865,0.854,23.9888,10.9065,13.0823,39.67,11004.8,14.7,0
2019-07-01,emp-daily,P3,0.9,derived,1926,1640,0.8681,0.8552,18.0786,10.9021,7.1765,39.79,10917.0,14.0,0
2019-07-01,emp-daily,P3,0.9,margin,1926,1640,0.8681,0.8552,23.8495,10.9021,12.9473,39.79,10917.0,14.0,0
2019-07-01,emp-daily,P1,0.95,derived,1926,1640,0.8832,0.8629,25.48,11.6507,13.8293,41.75,10333.0,17.0,0
2019-07-01,emp-daily,P1,0.95,margin,1926,1640,0.8832,0.8629,23.5602,11.6507,11.9096,41.75,10333.0,17.0,0
2019-07-01,emp-daily,P2,0.95,derived,1926,1640,0.8806,0.8675,25.0341,11.527,13.507,41.85,9985.3,16.6,0
2019-07-01,emp-daily,P2,0.95,margin,1926,1640,0.8806,0.8675,23.2662,11.527,11.7391,41.85,9985.3,16.6,0
2019-07-01,emp-daily,P3,0.95,derived,1926,1640,0.8863,0.8706,24.8577,11.8432,13.0145,42.71,9755.0,17.0,0
2019-07-01,emp-daily,P3,0.95,margin,1926,1640,0.8863,0.8706,23.1923,11.8432,11.349,42.71,9755.0,17.0,0
2019-07-01,emp-daily,P1,0.98,derived,1926,1640,0.8977,0.879,42.5964,12.432,30.1644,44.66,9118.0,18.0,0
2019-07-01,emp-daily,P1,0.98,margin,1926,1640,0.8977,0.879,22.7287,12.432,10.2968,44.66,9118.0,18.0,0
2019-07-01,emp-daily,P2,0.98,derived,1926,1640,0.891,0.8814,42.391,12.2435,30.1475,44.39,8938.9,18.1,0
2019-07-01,emp-daily,P2,0.98,margin,1926,1640,0.891,0.8814,22.6483,12.2435,10.4048,44.39,8938.9,18.1,0
2019-07-01,emp-daily,P3,0.98,derived,1926,1640,0.9034,0.8865,40.9195,12.6887,28.2308,45.76,8558.0,19.0,0
2019-07-01,emp-daily,P3,0.98,margin,1926,1640,0.9034,0.8865,22.4625,12.6887,9.7738,45.76,8558.0,19.0,0
2019-07-01,gbdt-lean,P1,0.85,derived,1926,1640,0.852,0.7556,17.6911,10.4763,7.2148,36.93,18424.7,23.0,0
2019-07-01,gbdt-lean,P1,0.85,margin,1926,1640,0.852,0.7556,29.417,10.4763,18.9407,36.93,18424.7,23.0,0
2019-07-01,gbdt-lean,P2,0.85,derived,1926,1640,0.8541,0.7631,17.643,10.6802,6.9629,37.78,17859.2,23.6,0
2019-07-01,gbdt-lean,P2,0.85,margin,1926,1640,0.8541,0.7631,29.0681,10.6802,18.3879,37.78,17859.2,23.6,0
2019-07-01,gbdt-lean,P3,0.85,derived,1926,1640,0.8593,0.7642,17.6411,10.7259,6.9152,37.95,17777.7,24.0,0
2019-07-01,gbdt-lean,P3,0.85,margin,1926,1640,0.8593,0.7642,29.0192,10.7259,18.2934,37.95,17777.7,24.0,0
2019-07-01,gbdt-lean,P1,0.9,derived,1926,1640,0.8671,0.7674,21.755,10.9599,10.7951,38.62,17534.7,27.0,0
2019-07-01,gbdt-lean,P1,0.9,margin,1926,1640,0.8671,0.7674,28.9121,10.9599,17.9521,38.62,17534.7,27.0,0
2019-07-01,gbdt-lean,P2,0.9,derived,1926,1640,0.866,0.773,21.6105,11.0714,10.5391,39.2,17113.8,26.3,0
2019-07-01,gbdt-lean,P2,0.9,margin,1926,1640,0.866,0.773,28.6712,11.0714,17.5998,39.2,17113.8,26.3,0
2019-07-01,gbdt-lean,P3,0.9,derived,1926,1640,0.8697,0.7756,21.6046,11.1968,10.4078,39.65,16913.7,28.0,0
2019-07-01,gbdt-lean,P3,0.9,margin,1926,1640,0.8697,0.7756,28.5831,11.1968,17.3863,39.65,16913.7,28.0,0
2019-07-01,gbdt-lean,P1,0.95,derived,1926,1640,0.8759,0.7839,32.6792,11.685,20.9943,41.2,16285.7,30.0,0
2019-07-01,gbdt-lean,P1,0.95,margin,1926,1640,0.8759,0.7839,28.3344,11.685,16.6495,41.2,16285.7,30.0,0
2019-07-01,gbdt-lean,P2,0.95,derived,1926,1640,0.8733,0.7871,32.4005,11.6692,20.7313,41.37,16047.8,29.7,0
2019-07-01,gbdt-lean,P2,0.95,margin,1926,1640,0.8733,0.7871,28.1809,11.6692,16.5116,41.37,16047.8,29.7,0
2019-07-01,gbdt-lean,P3,0.95,derived,1926,1640,0.8832,0.7922,32.1424,11.9802,20.1622,42.4,15666.7,31.0,0
2019-07-01,gbdt-lean,P3,0.95,margin,1926,1640,0.8832,0.7922,28.0693,11.9802,16.0891,42.4,15666.7,31.0,0
2019-07-01,gbdt-lean,P1,0.98,derived,1926,1640,0.8904,0.8011,61.7651,12.5733,49.1918,44.37,14991.7,33.0,0
2019-07-01,gbdt-lean,P1,0.98,margin,1926,1640,0.8904,0.8011,27.8523,12.5733,15.279,44.37,14991.7,33.0,0
2019-07-01,gbdt-lean,P2,0.98,derived,1926,1640,0.8868,0.8015,61.8954,12.3617,49.5336,43.9,14965.9,32.6,0
2019-07-01,gbdt-lean,P2,0.98,margin,1926,1640,0.8868,0.8015,27.79,12.3617,15.4283,43.9,14965.9,32.6,0
2019-07-01,gbdt-lean,P3,0.98,derived,1926,1640,0.8941,0.8089,59.983,12.937,47.046,45.76,14402.7,34.0,0
2019-07-01,gbdt-lean,P3,0.98,margin,1926,1640,0.8941,0.8089,27.6797,12.937,14.7427,45.76,14402.7,34.0,0
2019-07-01,always-zero,P1,0.85,derived,1926,1640,0.7092,0.4429,25.8123,6.4913,19.321,20.69,41991.0,0.0,0
2019-07-01,always-zero,P1,0.85,margin,1926,1640,0.7092,0.4429,52.9817,6.4913,46.4904,20.69,41991.0,0.0,0
2019-07-01,always-zero,P2,0.85,derived,1926,1640,0.7092,0.4429,25.8123,6.4913,19.321,20.69,41991.0,0.0,0
2019-07-01,always-zero,P2,0.85,margin,1926,1640,0.7092,0.4429,52.9817,6.4913,46.4904,20.69,41991.0,0.0,0
2019-07-01,always-zero,P3,0.85,derived,1926,1640,0.7092,0.4429,25.8123,6.4913,19.321,20.69,41991.0,0.0,0
2019-07-01,always-zero,P3,0.85,margin,1926,1640,0.7092,0.4429,52.9817,6.4913,46.4904,20.69,41991.0,0.0,0
2019-07-01,always-zero,P1,0.9,derived,1926,1640,0.7092,0.4429,37.1776,6.4913,30.6863,20.69,41991.0,0.0,0
2019-07-01,always-zero,P1,0.9,margin,1926,1640,0.7092,0.4429,52.9817,6.4913,46.4904,20.69,41991.0,0.0,0
2019-07-01,always-zero,P2,0.9,derived,1926,1640,0.7092,0.4429,37.1776,6.4913,30.6863,20.69,41991.0,0.0,0
2019-07-01,always-zero,P2,0.9,margin,1926,1640,0.7092,0.4429,52.9817,6.4913,46.4904,20.69,41991.0,0.0,0
2019-07-01,always-zero,P3,0.9,derived,1926,1640,0.7092,0.4429,37.1776,6.4913,30.6863,20.69,41991.0,0.0,0
2019-07-01,always-zero,P3,0.9,margin,1926,1640,0.7092,0.4429,52.9817,6.4913,46.4904,20.69,41991.0,0.0,0
2019-07-01,always-zero,P1,0.95,derived,1926,1640,0.7092,0.4429,71.2735,6.4913,64.7823,20.69,41991.0,0.0,0
2019-07-01,always-zero,P1,0.95,margin,1926,1640,0.7092,0.4429,52.9817,6.4913,46.4904,20.69,41991.0,0.0,0
2019-07-01,always-zero,P2,0.95,derived,1926,1640,0.7092,0.4429,71.2735,6.4913,64.7823,20.69,41991.0,0.0,0
2019-07-01,always-zero,P2,0.95,margin,1926,1640,0.7092,0.4429,52.9817,6.4913,46.4904,20.69,41991.0,0.0,0
2019-07-01,always-zero,P3,0.95,derived,1926,1640,0.7092,0.4429,71.2735,6.4913,64.7823,20.69,41991.0,0.0,0
2019-07-01,always-zero,P3,0.95,margin,1926,1640,0.7092,0.4429,52.9817,6.4913,46.4904,20.69,41991.0,0.0,0
2019-07-01,always-zero,P1,0.98,derived,1926,1640,0.7092,0.4429,173.5613,6.4913,167.0701,20.69,41991.0,0.0,0
2019-07-01,always-zero,P1,0.98,margin,1926,1640,0.7092,0.4429,52.9817,6.4913,46.4904,20.69,41991.0,0.0,0
2019-07-01,always-zero,P2,0.98,derived,1926,1640,0.7092,0.4429,173.5613,6.4913,167.0701,20.69,41991.0,0.0,0
2019-07-01,always-zero,P2,0.98,margin,1926,1640,0.7092,0.4429,52.9817,6.4913,46.4904,20.69,41991.0,0.0,0
2019-07-01,always-zero,P3,0.98,derived,1926,1640,0.7092,0.4429,173.5613,6.4913,167.0701,20.69,41991.0,0.0,0
2019-07-01,always-zero,P3,0.98,margin,1926,1640,0.7092,0.4429,52.9817,6.4913,46.4904,20.69,41991.0,0.0,0
2019-08-01,chronos2-zs,P1,0.85,derived,1976,1729,0.8704,0.7997,28.0225,9.9384,18.0841,38.92,18390.0,15.0,0
2019-08-01,chronos2-zs,P1,0.85,margin,1976,1729,0.8704,0.7997,63.4374,9.9384,53.499,38.92,18390.0,15.0,0
2019-08-01,chronos2-zs,P2,0.85,derived,1976,1729,0.872,0.8083,27.8769,10.1399,17.737,39.98,17602.1,15.2,0
2019-08-01,chronos2-zs,P2,0.85,margin,1976,1729,0.872,0.8083,62.7046,10.1399,52.5648,39.98,17602.1,15.2,0
2019-08-01,chronos2-zs,P3,0.85,derived,1976,1729,0.8785,0.809,27.8696,10.1656,17.704,40.09,17532.0,15.0,0
2019-08-01,chronos2-zs,P3,0.85,margin,1976,1729,0.8785,0.809,62.6527,10.1656,52.487,40.09,17532.0,15.0,0
2019-08-01,chronos2-zs,P1,0.9,derived,1976,1729,0.8851,0.8104,38.2914,10.4094,27.882,40.72,17406.0,16.0,0
2019-08-01,chronos2-zs,P1,0.9,margin,1976,1729,0.8851,0.8104,62.3506,10.4094,51.9412,40.72,17406.0,16.0,0
2019-08-01,chronos2-zs,P2,0.9,derived,1976,1729,0.8882,0.8177,38.0107,10.5644,27.4462,41.61,16737.5,16.3,0
2019-08-01,chronos2-zs,P2,0.9,margin,1976,1729,0.8882,0.8177,61.8095,10.5644,51.2451,41.61,16737.5,16.3,0
2019-08-01,chronos2-zs,P3,0.9,derived,1976,1729,0.8927,0.8195,37.9587,10.6608,27.298,41.96,16573.0,17.0,0
2019-08-01,chronos2-zs,P3,0.9,margin,1976,1729,0.8927,0.8195,61.6206,10.6608,50.9598,41.96,16573.0,17.0,0
2019-08-01,chronos2-zs,P1,0.95,derived,1976,1729,0.9018,0.8255,67.5943,11.2731,56.3212,43.75,16016.0,18.0,0
2019-08-01,chronos2-zs,P1,0.95,margin,1976,1729,0.9018,0.8255,60.9474,11.2731,49.6743,43.75,16016.0,18.0,0
2019-08-01,chronos2-zs,P2,0.95,derived,1976,1729,0.9013,0.8307,67.0934,11.2198,55.8736,44.09,15543.9,18.1,0
2019-08-01,chronos2-zs,P2,0.95,margin,1976,1729,0.9013,0.8307,60.6134,11.2198,49.3936,44.09,15543.9,18.1,0
2019-08-01,chronos2-zs,P3,0.95,derived,1976,1729,0.9074,0.8343,66.7017,11.547,55.1547,45.1,15215.0,19.0,0
2019-08-01,chronos2-zs,P3,0.95,margin,1976,1729,0.9074,0.8343,60.2447,11.547,48.6977,45.1,15215.0,19.0,0
2019-08-01,chronos2-zs,P1,0.98,derived,1976,1729,0.9221,0.8409,151.1353,12.2576,138.8777,47.3,14605.0,21.0,0
2019-08-01,chronos2-zs,P1,0.98,margin,1976,1729,0.9221,0.8409,59.6415,12.2576,47.3838,47.3,14605.0,21.0,0
2019-08-01,chronos2-zs,P2,0.98,derived,1976,1729,0.9165,0.844,150.6217,11.9886,138.6331,46.98,14316.9,20.0,0
2019-08-01,chronos2-zs,P2,0.98,margin,1976,1729,0.9165,0.844,59.4255,11.9886,47.4369,46.98,14316.9,20.0,0
2019-08-01,chronos2-zs,P3,0.98,derived,1976,1729,0.9281,0.8485,148.7505,12.5564,136.194,48.75,13903.0,21.0,0
2019-08-01,chronos2-zs,P3,0.98,margin,1976,1729,0.9281,0.8485,59.0977,12.5564,46.5413,48.75,13903.0,21.0,0
