arm,policy,alpha,costing,n_series,n_days,n_reviews,CSR,FR,avg_cost_per_series_day,avg_inventory,total_lost,S_median,n_violations
gbdt-lean,P3,0.95,derived,1921,63,3,0.8744,0.7204,1.761517,39.28,45758.5,30.0,0
gbdt-lean,P3,0.95,margin,1921,63,3,0.8744,0.7204,1.353486,39.28,45758.5,30.0,0
gbdt-lean,P1,0.98,derived,1921,63,3,0.881,0.7307,4.139381,41.29,44077.5,32.0,0
gbdt-lean,P1,0.98,margin,1921,63,3,0.881,0.7307,1.323517,41.29,44077.5,32.0,0
gbdt-lean,P2,0.98,derived,1921,63,3,0.8761,0.7307,4.15088,40.81,44071.6,31.4,0
gbdt-lean,P2,0.98,margin,1921,63,3,0.8761,0.7307,1.328181,40.81,44071.6,31.4,0
gbdt-lean,P3,0.98,derived,1921,63,3,0.8855,0.7394,4.044146,42.65,42653.5,33.0,0
gbdt-lean,P3,0.98,margin,1921,63,3,0.8855,0.7394,1.302715,42.65,42653.5,33.0,0
always-zero,P1,0.85,derived,1921,63,3,0.6446,0.2617,1.189615,16.08,120836.1,0.0,0
always-zero,P1,0.85,margin,1921,63,3,0.6446,0.2617,2.778613,16.08,120836.1,0.0,0
always-zero,P2,0.85,derived,1921,63,3,0.6446,0.2617,1.189615,16.08,120836.1,0.0,0
always-zero,P2,0.85,margin,1921,63,3,0.6446,0.2617,2.778613,16.08,120836.1,0.0,0
always-zero,P3,0.85,derived,1921,63,3,0.6446,0.2617,1.189615,16.08,120836.1,0.0,0
always-zero,P3,0.85,margin,1921,63,3,0.6446,0.2617,2.778613,16.08,120836.1,0.0,0
always-zero,P1,0.9,derived,1921,63,3,0.6446,0.2617,1.839321,16.08,120836.1,0.0,0
always-zero,P1,0.9,margin,1921,63,3,0.6446,0.2617,2.778613,16.08,120836.1,0.0,0
always-zero,P2,0.9,derived,1921,63,3,0.6446,0.2617,1.839321,16.08,120836.1,0.0,0
always-zero,P2,0.9,margin,1921,63,3,0.6446,0.2617,2.778613,16.08,120836.1,0.0,0
always-zero,P3,0.9,derived,1921,63,3,0.6446,0.2617,1.839321,16.08,120836.1,0.0,0
always-zero,P3,0.9,margin,1921,63,3,0.6446,0.2617,2.778613,16.08,120836.1,0.0,0
always-zero,P1,0.95,derived,1921,63,3,0.6446,0.2617,3.788436,16.08,120836.1,0.0,0
always-zero,P1,0.95,margin,1921,63,3,0.6446,0.2617,2.778613,16.08,120836.1,0.0,0
always-zero,P2,0.95,derived,1921,63,3,0.6446,0.2617,3.788436,16.08,120836.1,0.0,0
always-zero,P2,0.95,margin,1921,63,3,0.6446,0.2617,2.778613,16.08,120836.1,0.0,0
always-zero,P3,0.95,derived,1921,63,3,0.6446,0.2617,3.788436,16.08,120836.1,0.0,0
always-zero,P3,0.95,margin,1921,63,3,0.6446,0.2617,2.778613,16.08,120836.1,0.0,0
always-zero,P1,0.98,derived,1921,63,3,0.6446,0.2617,9.635782,16.08,120836.1,0.0,0
always-zero,P1,0.98,margin,1921,63,3,0.6446,0.2617,2.778613,16.08,120836.1,0.0,0
always-zero,P2,0.98,derived,1921,63,3,0.6446,0.2617,9.635782,16.08,120836.1,0.0,0
always-zero,P2,0.98,margin,1921,63,3,0.6446,0.2617,2.778613,16.08,120836.1,0.0,0
