alpha,lam,estimand,point,ci_lo,ci_hi,sim_lo,sim_hi,p_two_sided_pointwise,n_cells,n_clusters,n_draws,bootstrap_draws,natural_censoring_rate,recensor_fraction,recensor_rate_total,recensor_rate_scored_mean,recensor_rate_scored_sd,crit_r0r3,crit_adid
0.9,1.0,DiD,-8.316833677077383,-13.356841355057197,-5.137840153017397,-14.43934398208454,-2.194323372070226,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,1.0,0.3530837004405286,0.3645814977973568,0.0,,2.8947897623465555
0.95,0.0,R₀,-9.346407519982728,-12.693499911998416,-5.933521270527106,-14.10186696050907,-4.590948079456385,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.0,0.0,0.0,0.0,2.7627351157571503,
0.95,0.0,R₃,-6.906485609764894,-10.789802900782735,-2.3255561030808662,-12.872454513596026,-0.9405167059337618,0.0033599328013439733,5675,1135,50,50000,0.3530837004405286,0.0,0.0,0.0,0.0,2.7627351157571503,
0.95,0.0,A,2.4399219102178344,0.043045296385934156,5.770678748150714,-1.8210996969133069,6.700943517348976,0.045199096018079636,5675,1135,50,50000,0.3530837004405286,0.0,0.0,0.0,0.0,,2.8947897623465555
0.95,0.25,R₀,-9.054641406491811,-12.497631640677982,-5.468944668518174,-13.987752212700524,-4.121530600283099,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.25,0.08821585903083701,0.09106607929515417,0.0020788745447010773,2.7627351157571503,
0.95,0.25,R₃,-5.478570852814723,-9.603559199257594,-0.47108286145666395,-11.933560238783727,0.9764185331542796,0.031599368012639746,5675,1135,50,50000,0.3530837004405286,0.25,0.08821585903083701,0.09106607929515417,0.0020788745447010773,2.7627351157571503,
0.95,0.25,A,3.576070553677088,0.8640690294557974,7.480538852209959,-1.342763144079976,8.494904251434152,0.006519869602607948,5675,1135,50,50000,0.3530837004405286,0.25,0.08821585903083701,0.09106607929515417,0.0020788745447010773,,2.8947897623465555
0.95,0.25,DiD,-1.1361486434592534,-1.9323461829057842,-0.6155570546032334,-2.118200329018039,-0.15409695790046773,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.25,0.08821585903083701,0.09106607929515417,0.0020788745447010773,,2.8947897623465555
0.95,0.5,R₀,-8.972297293366928,-12.709793705712471,-4.995505077623194,-14.382979176464316,-3.5616154102695408,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.5,0.1765418502202643,0.18265022026431715,0.0021098002016327637,2.7627351157571503,
0.95,0.5,R₃,-3.775408551087589,-8.395263639833184,2.046528159548355,-11.180835211510338,3.6300181093351607,0.20539589208215836,5675,1135,50,50000,0.3530837004405286,0.5,0.1765418502202643,0.18265022026431715,0.0021098002016327637,2.7627351157571503,
