arm,policy,alpha,costing,n,CSR_ub,FR_ub,cost,hold,short_c,S_med,n_orders,avg_inv,lost_lb
chronos2-ft-full-short,P3,0.85,margin,3363,0.8670829616413916,0.8431402369965764,39.67652732877391,7.238390248785807,32.4381370799881,15.0,1527,33.95956586381207,25207.0
chronos2-ft-full-h32,P3,0.85,margin,3363,0.8673803151947665,0.8426984135676383,40.06355986420854,7.127609819605511,32.935950044603025,15.0,1502,33.822634552482896,25278.0
emp-daily,P3,0.85,margin,3363,0.8498364555456438,0.8022062297352395,42.702351047675684,7.6797640717613245,35.02258697591436,16.0,1549,34.36961641391614,31785.0
gbdt-lean,P3,0.85,margin,3363,0.8569729408266429,0.7541867437040783,48.64671402022004,8.547776345524829,40.098937674695215,21.0,1826,34.824510853404696,39501.619999999995
always-zero,P3,0.85,margin,3363,0.7133511745465358,0.5269349874870626,67.27452776489245,5.396222977500248,61.87830478739221,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P1,0.9,margin,3363,0.8840321141837645,0.8525865463645772,38.801506613143026,7.617956211715731,31.183550401427297,17.0,1609,34.715289919714536,23689.0
chronos2-zs,P1,0.9,margin,3363,0.8873030032708891,0.8556108588499847,38.95945145405888,8.402744644662505,30.556706809396374,19.0,1739,35.59991674100505,23203.0
chronos2-ft-full-short,P1,0.9,margin,3363,0.8739220933690157,0.8444968216093723,39.45222722470016,7.379559963326395,32.072667261373766,16.0,1573,34.162063633660416,24989.0
chronos2-ft-full-h32,P1,0.9,margin,3363,0.8742194469223907,0.8442665755971088,39.801817669739314,7.258668695609079,32.54314897413024,16.0,1558,34.01725245316681,25026.0
emp-daily,P1,0.9,margin,3363,0.8542967588462682,0.8047762730613162,42.32707768064229,7.83514339577758,34.4919342848647,17.0,1591,34.630692833779364,31372.0
gbdt-lean,P1,0.9,margin,3363,0.8611358905738924,0.7566385525914251,48.63607634552483,8.82454872137972,39.8115276241451,22.0,1891,35.11457924472197,39107.619999999995
always-zero,P1,0.9,margin,3363,0.7133511745465358,0.5269349874870626,67.27452776489245,5.396222977500248,61.87830478739221,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P2,0.9,margin,3363,0.8843294677371395,0.8593333857119405,38.385761786864556,7.7280186576772305,30.65774312918732,17.005312177245212,1671,35.05176409137967,22604.798569546
chronos2-zs,P2,0.9,margin,3363,0.8896818316978888,0.8623548086375249,38.55492633082339,8.523375574757283,30.03155075606611,19.348742952269117,1796,35.948529106910506,22119.262915105784
chronos2-ft-full-short,P2,0.9,margin,3363,0.8751115075825157,0.8515124454677075,39.00041623364357,7.48527062043931,31.51514561320425,16.414096168530477,1644,34.47488309715805,23861.605522212885
