arm,policy,alpha,costing,n,CSR_ub,FR_ub,cost,hold,short_c,S_med,n_orders,avg_inv,lost_lb
emp-daily,P2,0.9,margin,3363,0.856080880166518,0.8117230377829628,41.88755562387697,7.973148099326918,33.91440752455005,17.314833086569955,1671,34.926919512635294,30255.671025725533
gbdt-lean,P2,0.9,margin,3363,0.8617305976806423,0.7625962732063283,48.2375333879329,8.900027632490886,39.337505755441995,22.18335981785308,1953,35.34899052713483,38150.22811909688
always-zero,P2,0.9,margin,3363,0.7133511745465358,0.5269349874870626,67.27452776489245,5.396222977500248,61.87830478739221,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P3,0.9,margin,3363,0.8890871245911388,0.8609749686492052,38.22351503816037,7.795175757755972,30.428339280404398,17.0,1636,35.183324412726726,22341.0
chronos2-zs,P3,0.9,margin,3363,0.8950341956586381,0.8640055039998088,38.419453312518584,8.61082113886411,29.808632173654473,20.0,1771,36.09426702349093,21854.0
chronos2-ft-full-short,P3,0.9,margin,3363,0.8822479928635147,0.8532212786146011,38.85386722866488,7.549059021706809,31.30480820695807,17.0,1603,34.598876003568236,23587.0
chronos2-ft-full-h32,P3,0.9,margin,3363,0.8810585786500149,0.8527483408596813,39.21817811180493,7.412870350877194,31.80530776092774,16.0,1584,34.42135593220339,23663.0
emp-daily,P3,0.9,margin,3363,0.8599464763603925,0.8127290947822022,41.80113108038457,7.967684752700961,33.83344632768361,17.0,1612,34.979934582218256,30094.0
gbdt-lean,P3,0.9,margin,3363,0.8661909009812667,0.7645166999299554,48.164714763603925,9.0352165774606,39.12949818614332,23.0,1932,35.528198037466545,37841.619999999995
always-zero,P3,0.9,margin,3363,0.7133511745465358,0.5269349874870626,67.27452776489245,5.396222977500248,61.87830478739221,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P1,0.95,margin,3363,0.9000892060660125,0.8663515241788182,37.81883788978095,8.21722474675389,29.601613143027063,19.0,1753,35.84984240261671,21477.0
chronos2-zs,P1,0.95,margin,3363,0.9066309842402617,0.8698238829583601,38.12510766379224,9.202151969471702,28.922955694320546,21.0,1903,36.9307225691347,20919.0
chronos2-ft-full-short,P1,0.95,margin,3363,0.8920606601248885,0.8589836517863855,38.308083602933884,7.952010156606206,30.35607344632768,18.0,1715,35.23536128456735,22661.0
chronos2-ft-full-h32,P1,0.95,margin,3363,0.8914659530181386,0.8583862567275395,38.70341046882743,7.805981090296363,30.897429378531072,18.0,1699,35.04728516205768,22757.0
emp-daily,P1,0.95,margin,3363,0.8745168004757656,0.8206570250423031,41.02866579641193,8.554288752106254,32.474377044305676,19.0,1738,35.80806422836753,28820.0
gbdt-lean,P1,0.95,margin,3363,0.8765982753493904,0.771380520241487,47.91500728516206,9.503707136485282,38.41130014867677,25.0,2060,36.2080969372584,36738.619999999995
always-zero,P1,0.95,margin,3363,0.7133511745465358,0.5269349874870626,67.27452776489245,5.396222977500248,61.87830478739221,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P2,0.95,margin,3363,0.8986024382991377,0.871222864269807,37.505253141383605,8.185648684754225,29.31960445662937,18.79042030343912,1786,35.98873580407782,20694.186948887116
chronos2-zs,P2,0.95,margin,3363,0.9051442164733868,0.8743051921952757,37.8105648484868,9.114362122705103,28.6962027257817,21.16208387432483,1925,37.031874670688,20198.86400226509
chronos2-ft-full-short,P2,0.95,margin,3363,0.8902765388046388,0.8637703395517486,38.045679820366836,7.915259235821149,30.13042058454568,18.06289775181903,1753,35.35869522737454,21891.79038122175
chronos2-ft-full-h32,P2,0.95,margin,3363,0.8890871245911388,0.8631640178765368,38.414669841162926,7.773907119746423,30.640762721416504,17.38141471695466,1740,35.187572493673706,21989.224867762
emp-daily,P2,0.95,margin,3363,0.872137972048766,0.8252053823700991,40.83686760783692,8.455732378730902,32.38113522910603,18.776156639135014,1793,35.83447161335254,28089.089529612174
gbdt-lean,P2,0.95,margin,3363,0.8736247398156408,0.7753708794802211,47.629422918825384,9.458037051409478,38.17138586741591,24.262539769047883,2080,36.2763270079019,36097.37852796886
always-zero,P2,0.95,margin,3363,0.7133511745465358,0.5269349874870626,67.27452776489245,5.396222977500248,61.87830478739221,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P3,0.95,margin,3363,0.9051442164733868,0.8743230144952933,37.29923545148181,8.421418026563584,28.87781742491822,20.0,1793,36.37169788878977,20196.0
chronos2-zs,P3,0.95,margin,3363,0.911983348201011,0.8774655614194306,37.683824335414805,9.432142801070473,28.251681534344332,22.0,1927,37.49212607790663,19691.0
